user,business,rate
Xqd0DzHaiyRqVH3WRG7hzg,vcNAWiLM4dR7D2nwwJ7nCA,5
H1kH6QZV7Le4zqTRNxoZow,vcNAWiLM4dR7D2nwwJ7nCA,2
zvJCcrpm2yOZrxKffwGQLA,vcNAWiLM4dR7D2nwwJ7nCA,4
KBLW4wJA_fwoWmMhiHRVOA,vcNAWiLM4dR7D2nwwJ7nCA,4
zvJCcrpm2yOZrxKffwGQLA,vcNAWiLM4dR7D2nwwJ7nCA,4
Qrs3EICADUKNFoUq2iHStA,vcNAWiLM4dR7D2nwwJ7nCA,1
jE5xVugujSaskAoh2DRx3Q,vcNAWiLM4dR7D2nwwJ7nCA,5
QnhQ8G51XbUpVEyWY2Km-A,vcNAWiLM4dR7D2nwwJ7nCA,5
tAB7GJpUuaKF4W-3P0d95A,vcNAWiLM4dR7D2nwwJ7nCA,1
GP-h9colXgkT79BW7aDJeg,vcNAWiLM4dR7D2nwwJ7nCA,5
uK8tzraOp4M5u3uYrqIBXg,UsFtqoBl7naz8AVUBZMjQQ,5
I_47G-R2_egp7ME5u_ltew,UsFtqoBl7naz8AVUBZMjQQ,3
PP_xoMSYlGr2pb67BbqBdA,UsFtqoBl7naz8AVUBZMjQQ,2
JPPhyFE-UE453zA6K0TVgw,UsFtqoBl7naz8AVUBZMjQQ,4
fhNxoMwwTipzjO8A9LFe8Q,cE27W9VPgO88Qxe4ol6y_g,3
-6rEfobYjMxpUWLNxszaxQ,cE27W9VPgO88Qxe4ol6y_g,1
KZuaJtFindQM9x2ZoMBxcQ,cE27W9VPgO88Qxe4ol6y_g,1
H9E5VejGEsRhwcbOMFknmQ,cE27W9VPgO88Qxe4ol6y_g,4
ljwgUJowB69klaR8Au-H7g,cE27W9VPgO88Qxe4ol6y_g,4
JbAeIYc89Sk8SWmrBCJs9g,HZdLhv6COCleJMo7nPl-RA,5
l_szjd-ken3ma6oHDkTYXg,HZdLhv6COCleJMo7nPl-RA,2
zo_soThZw8eVglPbCRNC9A,HZdLhv6COCleJMo7nPl-RA,4
LWbYpcangjBMm4KPxZGOKg,mVHrayjG3uZ_RLHkLj-AMg,5
m1FpV3EAeggaAdfPx0hBRQ,mVHrayjG3uZ_RLHkLj-AMg,5
8fApIAMHn2MZJFUiCQto5Q,mVHrayjG3uZ_RLHkLj-AMg,5
uK8tzraOp4M5u3uYrqIBXg,mVHrayjG3uZ_RLHkLj-AMg,4
6wvlM5L4_EroGXbnb_92xQ,mVHrayjG3uZ_RLHkLj-AMg,5
345nDw0oC-jOcglqxmzweQ,mVHrayjG3uZ_RLHkLj-AMg,5
u9ULAsnYTdYH65Haj5LMSw,mVHrayjG3uZ_RLHkLj-AMg,4
pdHC0oAcG7gNdhuFRAUu0Q,mVHrayjG3uZ_RLHkLj-AMg,5
tAKjY3bQXH51msJbOHYPmQ,mVHrayjG3uZ_RLHkLj-AMg,5
Kq8-FUG7d_MT2qRNiNBJnA,mVHrayjG3uZ_RLHkLj-AMg,4
ay9H1RpjbBkaiXGxfh7LaA,KayYbHCt-RkbGcPdGOThNg,4
JbWnXwjLaO1kncUkQOMajg,KayYbHCt-RkbGcPdGOThNg,4
4-3IU5uUH90m21TWbZhhnA,KayYbHCt-RkbGcPdGOThNg,4
bcwr1bFov3PSa1FiGfpc9g,KayYbHCt-RkbGcPdGOThNg,3
Sjb5e5-gKoLXueFDMc2R8Q,KayYbHCt-RkbGcPdGOThNg,4
tnArVArlj5usJLZbq9ydbQ,KayYbHCt-RkbGcPdGOThNg,5
W_NfPGdpM0286WBDNSvY5g,KayYbHCt-RkbGcPdGOThNg,3
h-A_xNeB_xSbc0psqHyoJg,KayYbHCt-RkbGcPdGOThNg,5
GcBAIs4pzeK6OzHpawgZlg,KayYbHCt-RkbGcPdGOThNg,2
tkYwzVUMztdjNuqsNhAP5A,KayYbHCt-RkbGcPdGOThNg,5
qswY4Psj6SdtwJABNx0eng,KayYbHCt-RkbGcPdGOThNg,5
udy8pMNA09YDs98e51wXZQ,KayYbHCt-RkbGcPdGOThNg,3
xzie68uK2ViI0ddnLHw1tw,b12U9TFESStdy7CsTtcOeg,1
trYPAmnPz6ChpIgx0jGbyg,b12U9TFESStdy7CsTtcOeg,1
XTp6S7yXL7HluVUaBYdbyQ,b12U9TFESStdy7CsTtcOeg,1
RsaEvod4EOBYIdbRBBv0sw,b12U9TFESStdy7CsTtcOeg,4
5noqL9IulqZx326u6eg4Rw,b12U9TFESStdy7CsTtcOeg,1
072tu2_MFWmw-jb1O6DQYg,Sktj1eHQFuVa-M4bgnEh8g,4
5eR_TeDFbOmv28MoRwH-lw,Sktj1eHQFuVa-M4bgnEh8g,4
4cW3iQW6JD1C8VxYP0eyXg,Sktj1eHQFuVa-M4bgnEh8g,4
4cW3iQW6JD1C8VxYP0eyXg,Sktj1eHQFuVa-M4bgnEh8g,4
BNiS6iuXJHMqTyuKQgyHYQ,3ZVKmuK2l7uXPE6lXY4Dbg,1
nEYPahVwXGD2Pjvgkm7QqQ,3ZVKmuK2l7uXPE6lXY4Dbg,2
Z2HWwo5mIEc8SIVZH0IlfQ,3ZVKmuK2l7uXPE6lXY4Dbg,4
T_wjLgPOPXry7Bea4MzoVQ,wJr6kSA5dchdgOdwH6dZ2w,3
LaPatM6c289ClpysmzZpdQ,wJr6kSA5dchdgOdwH6dZ2w,3
vGI3dbg5zFRXBg4eVVmGSg,wJr6kSA5dchdgOdwH6dZ2w,4
9MmWbiE7txW_OplDAnoaqA,wJr6kSA5dchdgOdwH6dZ2w,2
q7MrNVt1FE23rwtWmPYWHg,wJr6kSA5dchdgOdwH6dZ2w,4
7KoVg5QMjYu8taLFSE7hNA,wJr6kSA5dchdgOdwH6dZ2w,4
G4PZXgVGd-6zG9jJBQNl5A,wJr6kSA5dchdgOdwH6dZ2w,5
T_wjLgPOPXry7Bea4MzoVQ,yXuao0pFz1AxB21vJjDf5w,2
bvu13GyOUwhEjPum2xjiqQ,yXuao0pFz1AxB21vJjDf5w,3
tAKjY3bQXH51msJbOHYPmQ,fNGIbpazjTRdXgwRY_NIXA,2
NwAlaSEjsWiiZlqnBOm1fA,fNGIbpazjTRdXgwRY_NIXA,5
aOHQ9MlorpvL71Y6qC9v2A,fNGIbpazjTRdXgwRY_NIXA,5
c67-0jrGj8tcW7M7TzqsqQ,fNGIbpazjTRdXgwRY_NIXA,4
L_aMQmKqw5TTcWRYGI2CAQ,fNGIbpazjTRdXgwRY_NIXA,5
PrMlXX6fbMsJie9ausN41g,b9WZJp5L1RZr4F1nxclOoQ,3
FNbm3ycU2BF8C17UFfWzOg,b9WZJp5L1RZr4F1nxclOoQ,4
EtSjuNdguCE9AcmCOVYqxw,b9WZJp5L1RZr4F1nxclOoQ,5
l-KVyeKBFWpAttOKBcM07A,b9WZJp5L1RZr4F1nxclOoQ,4
dxJK0ZLxRsQY16-wwKjzIQ,b9WZJp5L1RZr4F1nxclOoQ,5
gl46Pxc4OzLai8JVyxUIwA,b9WZJp5L1RZr4F1nxclOoQ,5
tgKy3r3vI7xMO8ZPh86M3Q,b9WZJp5L1RZr4F1nxclOoQ,4
Yv0JrZLmUWBmsWwaxuRQtg,b9WZJp5L1RZr4F1nxclOoQ,5
ei4yFnLZMJkxm49KC5Jtww,b9WZJp5L1RZr4F1nxclOoQ,5
9cCTmiJ7hz35rHIdr8n9kA,b9WZJp5L1RZr4F1nxclOoQ,5
ob2NmltzrzoNBRDfJqitlg,b9WZJp5L1RZr4F1nxclOoQ,4
LgkDx-_5hoNlBrNezwyTtA,b9WZJp5L1RZr4F1nxclOoQ,4
bcwr1bFov3PSa1FiGfpc9g,b9WZJp5L1RZr4F1nxclOoQ,4
AY-W59xCVPDaCaOKJOQUhw,b9WZJp5L1RZr4F1nxclOoQ,5
q7MrNVt1FE23rwtWmPYWHg,b9WZJp5L1RZr4F1nxclOoQ,3
gcjQt9J7TdnMhZGwDHuXcA,b9WZJp5L1RZr4F1nxclOoQ,5
irPsx5KWCwVX44AlSltXXA,b9WZJp5L1RZr4F1nxclOoQ,5
1giup8Tfm44sYcFoN3PmwQ,b9WZJp5L1RZr4F1nxclOoQ,5
9Ify25DK87s5_u2EhK0_Rg,b9WZJp5L1RZr4F1nxclOoQ,5
GwcBPWbgjegIxXViOdSuVg,b9WZJp5L1RZr4F1nxclOoQ,5
Nhvkukz5MECqEUQVfh6A6w,b9WZJp5L1RZr4F1nxclOoQ,4
fFXsUH9uLapH_BopOIBKHA,b9WZJp5L1RZr4F1nxclOoQ,5
1VMTfE5MlQyDIRGWDSNsvA,b9WZJp5L1RZr4F1nxclOoQ,4
rGuk1S7MIU8M9ZE2mulVsg,b9WZJp5L1RZr4F1nxclOoQ,5
ElHMvz-1_xfOl_noq_2Utg,b9WZJp5L1RZr4F1nxclOoQ,5
GYSqprhDteK52ILOBaFCIQ,b9WZJp5L1RZr4F1nxclOoQ,5
Dg9xy4ZbsteCBUL_sjaNKA,b9WZJp5L1RZr4F1nxclOoQ,4
PShxCNSE1_YmNDJOFzyTRA,b9WZJp5L1RZr4F1nxclOoQ,5
HzB5eZLSabmOUDc3ItgIcQ,b9WZJp5L1RZr4F1nxclOoQ,5
f6sXlAT1R6F5NMIAeUHpXQ,b9WZJp5L1RZr4F1nxclOoQ,5
JAe6HSt7J4OtkcFWYJNURA,b9WZJp5L1RZr4F1nxclOoQ,5
CiCmxCruMvbXtjQP5FhbLg,b9WZJp5L1RZr4F1nxclOoQ,5
1Hx--oyAcojSfqQYERNkig,b9WZJp5L1RZr4F1nxclOoQ,5
ssd4Ac6OoABXZIai_N5Odw,b9WZJp5L1RZr4F1nxclOoQ,5
E8K5lVfbsg-x9KX9gOIfzA,zaXDakTd3RXyOa7sMrUE1g,5
FyQ9wsYI-17OTSZTnXmNbg,zaXDakTd3RXyOa7sMrUE1g,5
QM5uJW2Pop9SjgO0P3z33w,zaXDakTd3RXyOa7sMrUE1g,5
x2kLEDf4JfnIdIDToLQ9fQ,zaXDakTd3RXyOa7sMrUE1g,2
S5oBX7uhY4wYyDjvka4cWg,zaXDakTd3RXyOa7sMrUE1g,3
jykemU4-CaDr-8Lnei-_ZA,zgy27FSnvwdINfk5cXBIyQ,3
x4Lr_NkzNvEeMjf_qlUD1A,zgy27FSnvwdINfk5cXBIyQ,4
22OgTmm9O84x7v1js4anuw,zgy27FSnvwdINfk5cXBIyQ,4
GLP24FIMxbe7W4Ig6OX4cw,zgy27FSnvwdINfk5cXBIyQ,4
fEj7Gb3yXriiiAax9ay8Fg,zgy27FSnvwdINfk5cXBIyQ,5
80YoAmJsI_3FesVaPSZjpA,WETE_LykpcnrC1sFcQ5EGg,5
LwEfyIPU8woMqZsKqrf7NA,WETE_LykpcnrC1sFcQ5EGg,4
2MRE7On5kQ2sKxWfYKOi8w,WETE_LykpcnrC1sFcQ5EGg,1
heoc96QXrTbecWVw933qhQ,WETE_LykpcnrC1sFcQ5EGg,4
neBCZl1X_pDl11y7nVYFoQ,WETE_LykpcnrC1sFcQ5EGg,2
jc6LD2wn5YrW3BUcxuX50w,6o3RK6rTcN3nw-j-r2nQmA,1
PRTVZdLWYmhozxkplGA9qQ,6o3RK6rTcN3nw-j-r2nQmA,3
V1oOVqCOc3RRSUvcrEQgVA,6o3RK6rTcN3nw-j-r2nQmA,4
fTg6Rz2Rs1LLYN_U7TJbcQ,6o3RK6rTcN3nw-j-r2nQmA,1
dEfFa1y8HOvwjd3Tztzs0g,woOVJ0Z2f6XNCDntHA3b_g,4
h4aLzC0_xoYSbm23ciekyQ,woOVJ0Z2f6XNCDntHA3b_g,5
HEsdDAq-790wg9BEmnDnfw,woOVJ0Z2f6XNCDntHA3b_g,5
Sdy0RPXf0nxZ-15Zb_Fxmg,woOVJ0Z2f6XNCDntHA3b_g,5
yqbv-xI54sz27HCTvRXcCg,woOVJ0Z2f6XNCDntHA3b_g,5
MLQre1nvUtW-RqMTc4iC9A,rv7CY8G_XibTx82YhuqQRw,3
dnYS5JRUt7qdeSb9yh3dkw,rv7CY8G_XibTx82YhuqQRw,3
hZelXy7fk1fwICGvH6OMrQ,rv7CY8G_XibTx82YhuqQRw,5
SeKrO18C8nqAZ9bWYOyxig,e_U_FnpdKVgNb4mUN2cU_Q,1
6VEID9yjoYWFZkUcP_GNBg,e_U_FnpdKVgNb4mUN2cU_Q,4
Nhvkukz5MECqEUQVfh6A6w,e_U_FnpdKVgNb4mUN2cU_Q,1
bbw2tt_eKJnA3TuiK-koDw,e_U_FnpdKVgNb4mUN2cU_Q,5
Jdfzz0EVCRXkpydEBNrtlw,e_U_FnpdKVgNb4mUN2cU_Q,1
YKDw2WGj-MQjz7eRsb5FHg,SQ0j7bgSTazkVQlF5AnqyQ,3
_CtkjL-e6O_lMShkN6HuSA,SQ0j7bgSTazkVQlF5AnqyQ,1
RJgfj-6Uq-lyiPJJcyCVlQ,SQ0j7bgSTazkVQlF5AnqyQ,2
fTg6Rz2Rs1LLYN_U7TJbcQ,SQ0j7bgSTazkVQlF5AnqyQ,2
